"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 08 19:04:47 GMT 2021","Sun Aug 08 19:04:49 GMT 2021","2082","test_conduit","test_all_conduit","TestConduit1","","","test_accept_cookies",""
"broken","Sun Aug 08 19:07:51 GMT 2021","Sun Aug 08 19:08:01 GMT 2021","10044","test_conduit","test_all_conduit","TestConduit1","","","test_list_faved_posts",""
"passed","Sun Aug 08 19:05:09 GMT 2021","Sun Aug 08 19:05:17 GMT 2021","7882","test_conduit","test_all_conduit","TestConduit1","","","test_new_article",""
"passed","Sun Aug 08 19:04:49 GMT 2021","Sun Aug 08 19:05:04 GMT 2021","14474","test_conduit","test_all_conduit","TestConduit1","","","test_signup",""
"passed","Sun Aug 08 19:06:28 GMT 2021","Sun Aug 08 19:06:46 GMT 2021","18153","test_conduit","test_all_conduit","TestConduit1","","","test_modify_profile",""
"passed","Sun Aug 08 19:05:19 GMT 2021","Sun Aug 08 19:05:30 GMT 2021","11712","test_conduit","test_all_conduit","TestConduit1","","","test_modify_article",""
"failed","Sun Aug 08 19:05:32 GMT 2021","Sun Aug 08 19:06:26 GMT 2021","53943","test_conduit","test_all_conduit","TestConduit1","","","test_new_article_from_file",""
"passed","Sun Aug 08 19:06:47 GMT 2021","Sun Aug 08 19:07:04 GMT 2021","16243","test_conduit","test_all_conduit","TestConduit1","","","test_delete_article",""
"passed","Sun Aug 08 19:07:39 GMT 2021","Sun Aug 08 19:07:50 GMT 2021","10403","test_conduit","test_all_conduit","TestConduit1","","","test_pagination",""
"passed","Sun Aug 08 19:05:04 GMT 2021","Sun Aug 08 19:05:08 GMT 2021","3339","test_conduit","test_all_conduit","TestConduit1","","","test_sign_in",""
"passed","Sun Aug 08 19:07:05 GMT 2021","Sun Aug 08 19:07:38 GMT 2021","32742","test_conduit","test_all_conduit","TestConduit1","","","test_sampletext_download",""
"passed","Sun Aug 08 19:08:02 GMT 2021","Sun Aug 08 19:08:09 GMT 2021","7376","test_conduit","test_all_conduit","TestConduit1","","","test_logout",""
