"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 08 19:17:08 GMT 2021","Sun Aug 08 19:17:11 GMT 2021","3323","test_conduit","test_all_conduit","TestConduit1","","","test_sign_in",""
"broken","Sun Aug 08 19:19:50 GMT 2021","Sun Aug 08 19:20:00 GMT 2021","10038","test_conduit","test_all_conduit","TestConduit1","","","test_list_faved_posts",""
"passed","Sun Aug 08 19:18:46 GMT 2021","Sun Aug 08 19:19:03 GMT 2021","16140","test_conduit","test_all_conduit","TestConduit1","","","test_delete_article",""
"passed","Sun Aug 08 19:16:52 GMT 2021","Sun Aug 08 19:17:06 GMT 2021","14780","test_conduit","test_all_conduit","TestConduit1","","","test_signup",""
"passed","Sun Aug 08 19:16:48 GMT 2021","Sun Aug 08 19:16:50 GMT 2021","2077","test_conduit","test_all_conduit","TestConduit1","","","test_accept_cookies",""
"broken","Sun Aug 08 19:17:21 GMT 2021","Sun Aug 08 19:17:32 GMT 2021","10421","test_conduit","test_all_conduit","TestConduit1","","","test_modify_article",""
"passed","Sun Aug 08 19:17:12 GMT 2021","Sun Aug 08 19:17:20 GMT 2021","7919","test_conduit","test_all_conduit","TestConduit1","","","test_new_article",""
"passed","Sun Aug 08 19:18:27 GMT 2021","Sun Aug 08 19:18:45 GMT 2021","18115","test_conduit","test_all_conduit","TestConduit1","","","test_modify_profile",""
"passed","Sun Aug 08 19:19:04 GMT 2021","Sun Aug 08 19:19:37 GMT 2021","32656","test_conduit","test_all_conduit","TestConduit1","","","test_sampletext_download",""
"passed","Sun Aug 08 19:17:32 GMT 2021","Sun Aug 08 19:18:26 GMT 2021","53712","test_conduit","test_all_conduit","TestConduit1","","","test_new_article_from_file",""
"passed","Sun Aug 08 19:20:01 GMT 2021","Sun Aug 08 19:20:08 GMT 2021","7365","test_conduit","test_all_conduit","TestConduit1","","","test_logout",""
"passed","Sun Aug 08 19:19:38 GMT 2021","Sun Aug 08 19:19:49 GMT 2021","10369","test_conduit","test_all_conduit","TestConduit1","","","test_pagination",""
