"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 08 13:25:37 GMT 2021","Sun Aug 08 13:25:54 GMT 2021","16539","test_conduit","test_all_conduit","TestConduit1","","","test_modify_profile",""
"passed","Sun Aug 08 13:26:11 GMT 2021","Sun Aug 08 13:26:44 GMT 2021","32752","test_conduit","test_all_conduit","TestConduit1","","","test_sampletext_download",""
"passed","Sun Aug 08 13:24:43 GMT 2021","Sun Aug 08 13:25:37 GMT 2021","54148","test_conduit","test_all_conduit","TestConduit1","","","test_new_article_from_file",""
"passed","Sun Aug 08 13:24:16 GMT 2021","Sun Aug 08 13:24:19 GMT 2021","3339","test_conduit","test_all_conduit","TestConduit1","","","test_sign_in",""
"passed","Sun Aug 08 13:25:54 GMT 2021","Sun Aug 08 13:26:11 GMT 2021","16234","test_conduit","test_all_conduit","TestConduit1","","","test_delete_article",""
"passed","Sun Aug 08 13:23:59 GMT 2021","Sun Aug 08 13:24:14 GMT 2021","15137","test_conduit","test_all_conduit","TestConduit1","","","test_signup",""
"broken","Sun Aug 08 13:26:57 GMT 2021","Sun Aug 08 13:27:03 GMT 2021","6035","test_conduit","test_all_conduit","TestConduit1","","","test_list_faved_posts",""
"passed","Sun Aug 08 13:23:55 GMT 2021","Sun Aug 08 13:23:57 GMT 2021","2089","test_conduit","test_all_conduit","TestConduit1","","","test_accept_cookies",""
"passed","Sun Aug 08 13:27:03 GMT 2021","Sun Aug 08 13:27:11 GMT 2021","7385","test_conduit","test_all_conduit","TestConduit1","","","test_logout",""
"passed","Sun Aug 08 13:24:29 GMT 2021","Sun Aug 08 13:24:41 GMT 2021","11815","test_conduit","test_all_conduit","TestConduit1","","","test_modify_article",""
"passed","Sun Aug 08 13:26:46 GMT 2021","Sun Aug 08 13:26:56 GMT 2021","10433","test_conduit","test_all_conduit","TestConduit1","","","test_pagination",""
"passed","Sun Aug 08 13:24:21 GMT 2021","Sun Aug 08 13:24:29 GMT 2021","7992","test_conduit","test_all_conduit","TestConduit1","","","test_new_article",""
