"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 10 11:33:16 GMT 2021","Tue Aug 10 11:33:19 GMT 2021","3277","test_conduit","test_all_conduit","TestConduit1","","","test_sign_in",""
"passed","Tue Aug 10 11:35:06 GMT 2021","Tue Aug 10 11:35:23 GMT 2021","16850","test_conduit","test_all_conduit","TestConduit1","","","test_delete_article",""
"passed","Tue Aug 10 11:34:47 GMT 2021","Tue Aug 10 11:35:05 GMT 2021","18000","test_conduit","test_all_conduit","TestConduit1","","","test_modify_profile",""
"passed","Tue Aug 10 11:35:53 GMT 2021","Tue Aug 10 11:36:04 GMT 2021","10336","test_conduit","test_all_conduit","TestConduit1","","","test_pagination",""
"passed","Tue Aug 10 11:32:49 GMT 2021","Tue Aug 10 11:32:52 GMT 2021","2107","test_conduit","test_all_conduit","TestConduit1","","","test_accept_cookies",""
"passed","Tue Aug 10 11:33:33 GMT 2021","Tue Aug 10 11:33:49 GMT 2021","16071","test_conduit","test_all_conduit","TestConduit1","","","test_modify_article",""
"passed","Tue Aug 10 11:36:05 GMT 2021","Tue Aug 10 11:36:33 GMT 2021","27943","test_conduit","test_all_conduit","TestConduit1","","","test_list_faved_posts",""
"passed","Tue Aug 10 11:33:00 GMT 2021","Tue Aug 10 11:33:14 GMT 2021","14375","test_conduit","test_all_conduit","TestConduit1","","","test_signup",""
"passed","Tue Aug 10 11:33:49 GMT 2021","Tue Aug 10 11:34:46 GMT 2021","56509","test_conduit","test_all_conduit","TestConduit1","","","test_new_article_from_file",""
"passed","Tue Aug 10 11:36:35 GMT 2021","Tue Aug 10 11:36:42 GMT 2021","7313","test_conduit","test_all_conduit","TestConduit1","","","test_logout",""
"passed","Tue Aug 10 11:35:24 GMT 2021","Tue Aug 10 11:35:52 GMT 2021","27613","test_conduit","test_all_conduit","TestConduit1","","","test_sampletext_download",""
"passed","Tue Aug 10 11:32:52 GMT 2021","Tue Aug 10 11:32:59 GMT 2021","7352","test_conduit","test_all_conduit","TestConduit1","","","test_bad_signup",""
"passed","Tue Aug 10 11:33:21 GMT 2021","Tue Aug 10 11:33:31 GMT 2021","10617","test_conduit","test_all_conduit","TestConduit1","","","test_new_article",""
"broken","Tue Aug 10 11:32:46 GMT 2021","Tue Aug 10 11:32:48 GMT 2021","2003","test_conduit","test_all_conduit","TestConduit1","","","test_homepage",""
