"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Aug 13 07:57:54 GMT 2021","Fri Aug 13 07:58:51 GMT 2021","56428","test_conduit","test_all_conduit","TestConduit1","","","test_new_article_from_file",""
"passed","Fri Aug 13 07:58:52 GMT 2021","Fri Aug 13 07:59:11 GMT 2021","18239","test_conduit","test_all_conduit","TestConduit1","","","test_modify_profile",""
"passed","Fri Aug 13 08:00:39 GMT 2021","Fri Aug 13 08:00:46 GMT 2021","7311","test_conduit","test_all_conduit","TestConduit1","","","test_logout",""
"passed","Fri Aug 13 07:57:19 GMT 2021","Fri Aug 13 07:57:22 GMT 2021","3277","test_conduit","test_all_conduit","TestConduit1","","","test_sign_in",""
"failed","Fri Aug 13 08:00:10 GMT 2021","Fri Aug 13 08:00:38 GMT 2021","27957","test_conduit","test_all_conduit","TestConduit1","","","test_list_faved_posts",""
"passed","Fri Aug 13 07:59:12 GMT 2021","Fri Aug 13 07:59:29 GMT 2021","16881","test_conduit","test_all_conduit","TestConduit1","","","test_delete_article",""
"passed","Fri Aug 13 07:59:31 GMT 2021","Fri Aug 13 07:59:57 GMT 2021","26608","test_conduit","test_all_conduit","TestConduit1","","","test_sampletext_download",""
"passed","Fri Aug 13 07:57:24 GMT 2021","Fri Aug 13 07:57:34 GMT 2021","10615","test_conduit","test_all_conduit","TestConduit1","","","test_new_article",""
"passed","Fri Aug 13 07:57:03 GMT 2021","Fri Aug 13 07:57:18 GMT 2021","14273","test_conduit","test_all_conduit","TestConduit1","","","test_signup",""
"passed","Fri Aug 13 07:56:55 GMT 2021","Fri Aug 13 07:57:02 GMT 2021","7259","test_conduit","test_all_conduit","TestConduit1","","","test_bad_signup",""
"passed","Fri Aug 13 07:57:36 GMT 2021","Fri Aug 13 07:57:53 GMT 2021","17104","test_conduit","test_all_conduit","TestConduit1","","","test_modify_article",""
"passed","Fri Aug 13 07:56:50 GMT 2021","Fri Aug 13 07:56:53 GMT 2021","2714","test_conduit","test_all_conduit","TestConduit1","","","test_accept_cookies",""
"passed","Fri Aug 13 07:56:47 GMT 2021","Fri Aug 13 07:56:49 GMT 2021","2044","test_conduit","test_all_conduit","TestConduit1","","","test_homepage",""
"passed","Fri Aug 13 07:59:59 GMT 2021","Fri Aug 13 08:00:09 GMT 2021","10346","test_conduit","test_all_conduit","TestConduit1","","","test_pagination",""
