"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 10 08:39:10 GMT 2021","Tue Aug 10 08:39:25 GMT 2021","14408","test_conduit","test_all_conduit","TestConduit1","","","test_modify_article",""
"passed","Tue Aug 10 08:41:29 GMT 2021","Tue Aug 10 08:41:40 GMT 2021","10394","test_conduit","test_all_conduit","TestConduit1","","","test_pagination",""
"passed","Tue Aug 10 08:38:42 GMT 2021","Tue Aug 10 08:38:56 GMT 2021","14706","test_conduit","test_all_conduit","TestConduit1","","","test_signup",""
"passed","Tue Aug 10 08:40:42 GMT 2021","Tue Aug 10 08:40:59 GMT 2021","16971","test_conduit","test_all_conduit","TestConduit1","","","test_delete_article",""
"passed","Tue Aug 10 08:40:23 GMT 2021","Tue Aug 10 08:40:41 GMT 2021","18151","test_conduit","test_all_conduit","TestConduit1","","","test_modify_profile",""
"passed","Tue Aug 10 08:38:57 GMT 2021","Tue Aug 10 08:39:00 GMT 2021","3334","test_conduit","test_all_conduit","TestConduit1","","","test_sign_in",""
"passed","Tue Aug 10 08:39:26 GMT 2021","Tue Aug 10 08:40:21 GMT 2021","54942","test_conduit","test_all_conduit","TestConduit1","","","test_new_article_from_file",""
"passed","Tue Aug 10 08:42:09 GMT 2021","Tue Aug 10 08:42:16 GMT 2021","7380","test_conduit","test_all_conduit","TestConduit1","","","test_logout",""
"passed","Tue Aug 10 08:41:40 GMT 2021","Tue Aug 10 08:42:08 GMT 2021","28070","test_conduit","test_all_conduit","TestConduit1","","","test_list_faved_posts",""
"passed","Tue Aug 10 08:41:00 GMT 2021","Tue Aug 10 08:41:28 GMT 2021","27713","test_conduit","test_all_conduit","TestConduit1","","","test_sampletext_download",""
"passed","Tue Aug 10 08:38:38 GMT 2021","Tue Aug 10 08:38:40 GMT 2021","2082","test_conduit","test_all_conduit","TestConduit1","","","test_accept_cookies",""
"passed","Tue Aug 10 08:39:02 GMT 2021","Tue Aug 10 08:39:10 GMT 2021","7933","test_conduit","test_all_conduit","TestConduit1","","","test_new_article",""
