"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Aug 10 18:22:11 GMT 2021","Tue Aug 10 18:22:39 GMT 2021","27992","test_conduit","test_all_conduit","TestConduit1","","","test_list_faved_posts",""
"passed","Tue Aug 10 18:21:04 GMT 2021","Tue Aug 10 18:21:58 GMT 2021","54131","test_conduit","test_all_conduit","TestConduit1","","","test_sampletext_download",""
"passed","Tue Aug 10 18:19:12 GMT 2021","Tue Aug 10 18:19:28 GMT 2021","16114","test_conduit","test_all_conduit","TestConduit1","","","test_modify_article",""
"passed","Tue Aug 10 18:21:59 GMT 2021","Tue Aug 10 18:22:10 GMT 2021","10358","test_conduit","test_all_conduit","TestConduit1","","","test_pagination",""
"passed","Tue Aug 10 18:18:24 GMT 2021","Tue Aug 10 18:18:26 GMT 2021","2092","test_conduit","test_all_conduit","TestConduit1","","","test_homepage",""
"passed","Tue Aug 10 18:18:40 GMT 2021","Tue Aug 10 18:18:54 GMT 2021","14524","test_conduit","test_all_conduit","TestConduit1","","","test_signup",""
"passed","Tue Aug 10 18:18:31 GMT 2021","Tue Aug 10 18:18:38 GMT 2021","7368","test_conduit","test_all_conduit","TestConduit1","","","test_bad_signup",""
"failed","Tue Aug 10 18:19:30 GMT 2021","Tue Aug 10 18:20:26 GMT 2021","56519","test_conduit","test_all_conduit","TestConduit1","","","test_new_article_from_file",""
"passed","Tue Aug 10 18:22:41 GMT 2021","Tue Aug 10 18:22:48 GMT 2021","7316","test_conduit","test_all_conduit","TestConduit1","","","test_logout",""
"passed","Tue Aug 10 18:20:46 GMT 2021","Tue Aug 10 18:21:03 GMT 2021","16877","test_conduit","test_all_conduit","TestConduit1","","","test_delete_article",""
"passed","Tue Aug 10 18:19:00 GMT 2021","Tue Aug 10 18:19:10 GMT 2021","10649","test_conduit","test_all_conduit","TestConduit1","","","test_new_article",""
"passed","Tue Aug 10 18:18:55 GMT 2021","Tue Aug 10 18:18:58 GMT 2021","3291","test_conduit","test_all_conduit","TestConduit1","","","test_sign_in",""
"passed","Tue Aug 10 18:18:27 GMT 2021","Tue Aug 10 18:18:29 GMT 2021","2144","test_conduit","test_all_conduit","TestConduit1","","","test_accept_cookies",""
"passed","Tue Aug 10 18:20:27 GMT 2021","Tue Aug 10 18:20:45 GMT 2021","18003","test_conduit","test_all_conduit","TestConduit1","","","test_modify_profile",""
