"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 06 20:00:54 GMT 2021","Fri Aug 06 20:00:59 GMT 2021","4752","test_conduit","test_all_conduit","TestConduit1","","","test_signup",""
"passed","Fri Aug 06 20:01:21 GMT 2021","Fri Aug 06 20:01:32 GMT 2021","10743","test_conduit","test_all_conduit","TestConduit1","","","test_logout",""
"passed","Fri Aug 06 20:00:50 GMT 2021","Fri Aug 06 20:00:52 GMT 2021","2099","test_conduit","test_all_conduit","TestConduit1","","","test_accept_cookies",""
"passed","Fri Aug 06 20:01:00 GMT 2021","Fri Aug 06 20:01:08 GMT 2021","7678","test_conduit","test_all_conduit","TestConduit1","","","test_sign_in",""
"passed","Fri Aug 06 20:01:10 GMT 2021","Fri Aug 06 20:01:20 GMT 2021","10278","test_conduit","test_all_conduit","TestConduit1","","","test_new_article",""
