"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 06 12:48:37 GMT 2021","Fri Aug 06 12:48:40 GMT 2021","2046","test_conduit","test_all_conduit","TestConduit1","","","test_accept_cookies",""
"broken","Fri Aug 06 12:48:44 GMT 2021","Fri Aug 06 12:48:45 GMT 2021","283","test_conduit","test_all_conduit","TestConduit1","","","test_logout",""
"failed","Fri Aug 06 12:48:41 GMT 2021","Fri Aug 06 12:48:43 GMT 2021","2012","test_conduit","test_all_conduit","TestConduit1","","","test_signup",""
