"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 08 12:15:55 GMT 2021","Sun Aug 08 12:16:02 GMT 2021","7954","test_conduit","test_all_conduit","TestConduit1","","","test_new_article",""
"broken","Sun Aug 08 12:18:29 GMT 2021","Sun Aug 08 12:18:34 GMT 2021","5034","test_conduit","test_all_conduit","TestConduit1","","","test_list_faved_posts",""
"passed","Sun Aug 08 12:18:36 GMT 2021","Sun Aug 08 12:18:43 GMT 2021","7355","test_conduit","test_all_conduit","TestConduit1","","","test_logout",""
"passed","Sun Aug 08 12:16:04 GMT 2021","Sun Aug 08 12:16:16 GMT 2021","11728","test_conduit","test_all_conduit","TestConduit1","","","test_modify_article",""
"passed","Sun Aug 08 12:15:34 GMT 2021","Sun Aug 08 12:15:49 GMT 2021","14763","test_conduit","test_all_conduit","TestConduit1","","","test_signup",""
"passed","Sun Aug 08 12:15:32 GMT 2021","Sun Aug 08 12:15:34 GMT 2021","2108","test_conduit","test_all_conduit","TestConduit1","","","test_accept_cookies",""
"passed","Sun Aug 08 12:17:10 GMT 2021","Sun Aug 08 12:17:26 GMT 2021","16456","test_conduit","test_all_conduit","TestConduit1","","","test_modify_profile",""
"passed","Sun Aug 08 12:17:45 GMT 2021","Sun Aug 08 12:18:18 GMT 2021","32715","test_conduit","test_all_conduit","TestConduit1","","","test_sampletext_download",""
"passed","Sun Aug 08 12:18:18 GMT 2021","Sun Aug 08 12:18:29 GMT 2021","10411","test_conduit","test_all_conduit","TestConduit1","","","test_pagination",""
"failed","Sun Aug 08 12:16:16 GMT 2021","Sun Aug 08 12:17:08 GMT 2021","51972","test_conduit","test_all_conduit","TestConduit1","","","test_new_article_from_file",""
"passed","Sun Aug 08 12:15:51 GMT 2021","Sun Aug 08 12:15:54 GMT 2021","3331","test_conduit","test_all_conduit","TestConduit1","","","test_sign_in",""
"passed","Sun Aug 08 12:17:28 GMT 2021","Sun Aug 08 12:17:44 GMT 2021","16372","test_conduit","test_all_conduit","TestConduit1","","","test_delete_article",""
