"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 08 20:30:22 GMT 2021","Sun Aug 08 20:30:30 GMT 2021","7956","test_conduit","test_all_conduit","TestConduit1","","","test_new_article",""
"passed","Sun Aug 08 20:31:59 GMT 2021","Sun Aug 08 20:32:16 GMT 2021","17027","test_conduit","test_all_conduit","TestConduit1","","","test_delete_article",""
"failed","Sun Aug 08 20:30:43 GMT 2021","Sun Aug 08 20:31:38 GMT 2021","54997","test_conduit","test_all_conduit","TestConduit1","","","test_new_article_from_file",""
"passed","Sun Aug 08 20:33:31 GMT 2021","Sun Aug 08 20:33:42 GMT 2021","10433","test_conduit","test_all_conduit","TestConduit1","","","test_pagination",""
"broken","Sun Aug 08 20:30:31 GMT 2021","Sun Aug 08 20:30:42 GMT 2021","10440","test_conduit","test_all_conduit","TestConduit1","","","test_modify_article",""
"passed","Sun Aug 08 20:32:17 GMT 2021","Sun Aug 08 20:33:30 GMT 2021","72346","test_conduit","test_all_conduit","TestConduit1","","","test_sampletext_download",""
"passed","Sun Aug 08 20:30:18 GMT 2021","Sun Aug 08 20:30:21 GMT 2021","3350","test_conduit","test_all_conduit","TestConduit1","","","test_sign_in",""
"passed","Sun Aug 08 20:33:42 GMT 2021","Sun Aug 08 20:34:10 GMT 2021","28144","test_conduit","test_all_conduit","TestConduit1","","","test_list_faved_posts",""
"passed","Sun Aug 08 20:34:11 GMT 2021","Sun Aug 08 20:34:18 GMT 2021","7412","test_conduit","test_all_conduit","TestConduit1","","","test_logout",""
"passed","Sun Aug 08 20:31:39 GMT 2021","Sun Aug 08 20:31:57 GMT 2021","18194","test_conduit","test_all_conduit","TestConduit1","","","test_modify_profile",""
"passed","Sun Aug 08 20:29:59 GMT 2021","Sun Aug 08 20:30:01 GMT 2021","2102","test_conduit","test_all_conduit","TestConduit1","","","test_accept_cookies",""
"passed","Sun Aug 08 20:30:02 GMT 2021","Sun Aug 08 20:30:17 GMT 2021","14960","test_conduit","test_all_conduit","TestConduit1","","","test_signup",""
