"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 08 13:35:20 GMT 2021","Sun Aug 08 13:35:31 GMT 2021","10328","test_conduit","test_all_conduit","TestConduit1","","","test_pagination",""
"passed","Sun Aug 08 13:33:19 GMT 2021","Sun Aug 08 13:34:12 GMT 2021","53428","test_conduit","test_all_conduit","TestConduit1","","","test_new_article_from_file",""
"broken","Sun Aug 08 13:35:31 GMT 2021","Sun Aug 08 13:35:39 GMT 2021","8031","test_conduit","test_all_conduit","TestConduit1","","","test_list_faved_posts",""
"passed","Sun Aug 08 13:32:57 GMT 2021","Sun Aug 08 13:33:04 GMT 2021","7717","test_conduit","test_all_conduit","TestConduit1","","","test_new_article",""
"passed","Sun Aug 08 13:34:46 GMT 2021","Sun Aug 08 13:35:19 GMT 2021","32578","test_conduit","test_all_conduit","TestConduit1","","","test_sampletext_download",""
"passed","Sun Aug 08 13:34:30 GMT 2021","Sun Aug 08 13:34:46 GMT 2021","15953","test_conduit","test_all_conduit","TestConduit1","","","test_delete_article",""
"passed","Sun Aug 08 13:32:53 GMT 2021","Sun Aug 08 13:32:56 GMT 2021","3281","test_conduit","test_all_conduit","TestConduit1","","","test_sign_in",""
"passed","Sun Aug 08 13:32:37 GMT 2021","Sun Aug 08 13:32:51 GMT 2021","14262","test_conduit","test_all_conduit","TestConduit1","","","test_signup",""
"passed","Sun Aug 08 13:34:13 GMT 2021","Sun Aug 08 13:34:29 GMT 2021","16233","test_conduit","test_all_conduit","TestConduit1","","","test_modify_profile",""
"passed","Sun Aug 08 13:35:41 GMT 2021","Sun Aug 08 13:35:48 GMT 2021","7304","test_conduit","test_all_conduit","TestConduit1","","","test_logout",""
"passed","Sun Aug 08 13:33:06 GMT 2021","Sun Aug 08 13:33:17 GMT 2021","11456","test_conduit","test_all_conduit","TestConduit1","","","test_modify_article",""
"passed","Sun Aug 08 13:32:33 GMT 2021","Sun Aug 08 13:32:35 GMT 2021","2061","test_conduit","test_all_conduit","TestConduit1","","","test_accept_cookies",""
