"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 10 08:34:26 GMT 2021","Tue Aug 10 08:35:22 GMT 2021","55316","test_conduit","test_all_conduit","TestConduit1","","","test_new_article_from_file",""
"passed","Tue Aug 10 08:33:38 GMT 2021","Tue Aug 10 08:33:53 GMT 2021","14853","test_conduit","test_all_conduit","TestConduit1","","","test_signup",""
"passed","Tue Aug 10 08:36:00 GMT 2021","Tue Aug 10 08:36:55 GMT 2021","54501","test_conduit","test_all_conduit","TestConduit1","","","test_sampletext_download",""
"passed","Tue Aug 10 08:35:41 GMT 2021","Tue Aug 10 08:35:58 GMT 2021","17099","test_conduit","test_all_conduit","TestConduit1","","","test_delete_article",""
"passed","Tue Aug 10 08:37:07 GMT 2021","Tue Aug 10 08:37:35 GMT 2021","28241","test_conduit","test_all_conduit","TestConduit1","","","test_list_faved_posts",""
"passed","Tue Aug 10 08:35:22 GMT 2021","Tue Aug 10 08:35:41 GMT 2021","18325","test_conduit","test_all_conduit","TestConduit1","","","test_modify_profile",""
"passed","Tue Aug 10 08:37:37 GMT 2021","Tue Aug 10 08:37:44 GMT 2021","7398","test_conduit","test_all_conduit","TestConduit1","","","test_logout",""
"passed","Tue Aug 10 08:33:34 GMT 2021","Tue Aug 10 08:33:36 GMT 2021","2109","test_conduit","test_all_conduit","TestConduit1","","","test_accept_cookies",""
"passed","Tue Aug 10 08:33:59 GMT 2021","Tue Aug 10 08:34:07 GMT 2021","8008","test_conduit","test_all_conduit","TestConduit1","","","test_new_article",""
"passed","Tue Aug 10 08:36:55 GMT 2021","Tue Aug 10 08:37:06 GMT 2021","10437","test_conduit","test_all_conduit","TestConduit1","","","test_pagination",""
"passed","Tue Aug 10 08:34:10 GMT 2021","Tue Aug 10 08:34:25 GMT 2021","14725","test_conduit","test_all_conduit","TestConduit1","","","test_modify_article",""
"passed","Tue Aug 10 08:33:54 GMT 2021","Tue Aug 10 08:33:58 GMT 2021","3365","test_conduit","test_all_conduit","TestConduit1","","","test_sign_in",""
