"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 06 12:54:47 GMT 2021","Fri Aug 06 12:54:52 GMT 2021","4417","test_conduit","test_all_conduit","TestConduit1","","","test_logout",""
"passed","Fri Aug 06 12:54:42 GMT 2021","Fri Aug 06 12:54:47 GMT 2021","4790","test_conduit","test_all_conduit","TestConduit1","","","test_signup",""
"passed","Fri Aug 06 12:54:38 GMT 2021","Fri Aug 06 12:54:41 GMT 2021","2102","test_conduit","test_all_conduit","TestConduit1","","","test_accept_cookies",""
