"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 06 21:00:55 GMT 2021","Fri Aug 06 21:00:58 GMT 2021","2099","test_conduit","test_all_conduit","TestConduit1","","","test_accept_cookies",""
"passed","Fri Aug 06 21:02:05 GMT 2021","Fri Aug 06 21:02:35 GMT 2021","29614","test_conduit","test_all_conduit","TestConduit1","","","test_delete_article",""
"passed","Fri Aug 06 21:00:59 GMT 2021","Fri Aug 06 21:01:11 GMT 2021","11469","test_conduit","test_all_conduit","TestConduit1","","","test_signup",""
"passed","Fri Aug 06 21:01:12 GMT 2021","Fri Aug 06 21:01:27 GMT 2021","14732","test_conduit","test_all_conduit","TestConduit1","","","test_sign_in",""
"passed","Fri Aug 06 21:01:29 GMT 2021","Fri Aug 06 21:01:46 GMT 2021","17413","test_conduit","test_all_conduit","TestConduit1","","","test_new_article",""
"broken","Fri Aug 06 21:01:48 GMT 2021","Fri Aug 06 21:02:04 GMT 2021","16767","test_conduit","test_all_conduit","TestConduit1","","","test_new_article_from_file",""
"passed","Fri Aug 06 21:02:35 GMT 2021","Fri Aug 06 21:02:44 GMT 2021","8418","test_conduit","test_all_conduit","TestConduit1","","","test_logout",""
