"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 10 11:02:19 GMT 2021","Tue Aug 10 11:02:20 GMT 2021","72","test_conduit","test_all_conduit","TestConduit1","","","test_delete_article",""
"broken","Tue Aug 10 11:02:13 GMT 2021","Tue Aug 10 11:02:13 GMT 2021","76","test_conduit","test_all_conduit","TestConduit1","","","test_new_article",""
"broken","Tue Aug 10 11:02:24 GMT 2021","Tue Aug 10 11:02:24 GMT 2021","72","test_conduit","test_all_conduit","TestConduit1","","","test_logout",""
"broken","Tue Aug 10 11:02:15 GMT 2021","Tue Aug 10 11:02:15 GMT 2021","71","test_conduit","test_all_conduit","TestConduit1","","","test_modify_article",""
"passed","Tue Aug 10 11:01:41 GMT 2021","Tue Aug 10 11:01:43 GMT 2021","2287","test_conduit","test_all_conduit","TestConduit1","","","test_accept_cookies",""
"broken","Tue Aug 10 11:02:21 GMT 2021","Tue Aug 10 11:02:21 GMT 2021","72","test_conduit","test_all_conduit","TestConduit1","","","test_sampletext_download",""
"broken","Tue Aug 10 11:02:16 GMT 2021","Tue Aug 10 11:02:16 GMT 2021","72","test_conduit","test_all_conduit","TestConduit1","","","test_new_article_from_file",""
"broken","Tue Aug 10 11:02:22 GMT 2021","Tue Aug 10 11:02:22 GMT 2021","73","test_conduit","test_all_conduit","TestConduit1","","","test_list_faved_posts",""
"passed","Tue Aug 10 11:02:08 GMT 2021","Tue Aug 10 11:02:11 GMT 2021","3271","test_conduit","test_all_conduit","TestConduit1","","","test_sign_in",""
"passed","Tue Aug 10 11:01:45 GMT 2021","Tue Aug 10 11:01:53 GMT 2021","7393","test_conduit","test_all_conduit","TestConduit1","","","test_bad_signup",""
"broken","Tue Aug 10 11:02:22 GMT 2021","Tue Aug 10 11:02:22 GMT 2021","72","test_conduit","test_all_conduit","TestConduit1","","","test_pagination",""
"broken","Tue Aug 10 11:02:18 GMT 2021","Tue Aug 10 11:02:18 GMT 2021","75","test_conduit","test_all_conduit","TestConduit1","","","test_modify_profile",""
"passed","Tue Aug 10 11:01:53 GMT 2021","Tue Aug 10 11:02:08 GMT 2021","14459","test_conduit","test_all_conduit","TestConduit1","","","test_signup",""
