"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 06 14:05:43 GMT 2021","Fri Aug 06 14:05:49 GMT 2021","6346","test_conduit","test_all_conduit","TestConduit1","","","test_logout",""
"passed","Fri Aug 06 14:05:37 GMT 2021","Fri Aug 06 14:05:41 GMT 2021","4053","test_conduit","test_all_conduit","TestConduit1","","","test_signup",""
"passed","Fri Aug 06 14:05:34 GMT 2021","Fri Aug 06 14:05:36 GMT 2021","2051","test_conduit","test_all_conduit","TestConduit1","","","test_accept_cookies",""
