"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 23:52:25 GMT 2021","Thu Aug 12 23:52:36 GMT 2021","10608","test_conduit","test_all_conduit","TestConduit1","","","test_new_article",""
"passed","Thu Aug 12 23:51:50 GMT 2021","Thu Aug 12 23:51:52 GMT 2021","2049","test_conduit","test_all_conduit","TestConduit1","","","test_homepage",""
"failed","Thu Aug 12 23:52:49 GMT 2021","Thu Aug 12 23:53:46 GMT 2021","56438","test_conduit","test_all_conduit","TestConduit1","","","test_new_article_from_file",""
"passed","Thu Aug 12 23:53:46 GMT 2021","Thu Aug 12 23:54:04 GMT 2021","18233","test_conduit","test_all_conduit","TestConduit1","","","test_modify_profile",""
"broken","Thu Aug 12 23:52:37 GMT 2021","Thu Aug 12 23:52:47 GMT 2021","10345","test_conduit","test_all_conduit","TestConduit1","","","test_modify_article",""
"passed","Thu Aug 12 23:52:20 GMT 2021","Thu Aug 12 23:52:24 GMT 2021","3268","test_conduit","test_all_conduit","TestConduit1","","","test_sign_in",""
"passed","Thu Aug 12 23:54:23 GMT 2021","Thu Aug 12 23:55:16 GMT 2021","53100","test_conduit","test_all_conduit","TestConduit1","","","test_sampletext_download",""
"passed","Thu Aug 12 23:55:57 GMT 2021","Thu Aug 12 23:56:04 GMT 2021","7340","test_conduit","test_all_conduit","TestConduit1","","","test_logout",""
"passed","Thu Aug 12 23:52:05 GMT 2021","Thu Aug 12 23:52:20 GMT 2021","14584","test_conduit","test_all_conduit","TestConduit1","","","test_signup",""
"passed","Thu Aug 12 23:51:54 GMT 2021","Thu Aug 12 23:51:56 GMT 2021","2062","test_conduit","test_all_conduit","TestConduit1","","","test_accept_cookies",""
"passed","Thu Aug 12 23:51:57 GMT 2021","Thu Aug 12 23:52:05 GMT 2021","7307","test_conduit","test_all_conduit","TestConduit1","","","test_bad_signup",""
"passed","Thu Aug 12 23:55:17 GMT 2021","Thu Aug 12 23:55:27 GMT 2021","10337","test_conduit","test_all_conduit","TestConduit1","","","test_pagination",""
"passed","Thu Aug 12 23:54:05 GMT 2021","Thu Aug 12 23:54:22 GMT 2021","16825","test_conduit","test_all_conduit","TestConduit1","","","test_delete_article",""
"failed","Thu Aug 12 23:55:29 GMT 2021","Thu Aug 12 23:55:57 GMT 2021","27967","test_conduit","test_all_conduit","TestConduit1","","","test_list_faved_posts",""
